tag,Q,A,src
talk,요즘 늦바람이 불어서 이것저것 해보고 있네요,내적관리는어떤가요 도서관 미술관 영화명작감상등등,fmkorea
talk,"진짜 다음에 여자 연락 하게 되면 외모보단,",내가 아직 철이 없구나난 여전히 외몬데ㅠ,fmkorea
talk,눈 다녹아서 눈오리도 죽었네,ㅠㅠ 오리야 잘 가,fmkorea
talk,진짜 겨울이다,사무이 !!,fmkorea
talk,오늘 느낀건데 웃는거 이쁜게 ㄹㅇ 치트킨거같다,ㄹㅇ 눈웃음 너무좋아,fmkorea
question,여사친이 같이 여행가자는데 이거 뭐냐,그냥 해본 소리일지도 모름 ㅋㅋ 나도 여사친이나 다른 애들한테도 여행가자는 얘기 자주해서,fmkorea
talk,짝사랑 어렵네요,그놈의 군대가 문제네요,fmkorea
talk,여자친구 생리 주간인데 비까지 오는구나,막걸리랑 김치전 들고 기습하죠,fmkorea
talk,퇴사하려고 합니다,출퇴근 왕복 4시간도 있슴다,fmkorea
talk,예전에 인간적으로 좋아했던 동생이랑 다시 만날거같은데 좀 불안하다,그래도 막상 만나면 서로 반가워할테니 잘 다녀오셔요 ㅎㅎ,fmkorea
question,착하고 매너있는 이미지에서 남성적 매력 어필하는 법?,웅웅 머해 ㅠㅠ 웅 알게써  이런 말투 안 쓰기,fmkorea
talk,스키장조짐,그립다 스키 안 탄지 2년째,fmkorea
datecourse,연남동 소개팅 장소 추천좀요,술 갠찬?,fmkorea
breakup,6년 사귀고 헤어졌습니다,시간이 결국 다 해결해 줌,fmkorea
talk,헤어지면 줬던 선물,놔둔다,fmkorea
breakup,헤어졌다,너 충분히 좋은 사람임,fmkorea
breakup,4년만난 여자친구와 헤어진지 2주가 지났습니다,저는 10일쯤 됐는데 아직도 정신 못차리겠네요 인연이 아니였다 생각하고 보내주려구요,fmkorea
talk,애인이 나보다 친구를 더 잘해주면 뭔가싫음,예의 문제인 것 같아요,fmkorea
breakup,헤어졌습니다,고생 많앆어요,fmkorea
talk,님들 엄마 운동시키려고 어떤 방법까지 설계해봄?,같이 운동하러 나가면됨,fmkorea
talk,남자가 로맨스 과몰입해서 호들갑떨고 그럼 좀 별로인가,사바사 아닐까,fmkorea
talk,나이 들수록 자기얼굴엔 자기가 책임져야한다는 말이있잖아,표정에따라 인상이 확실히 바낌 근데 너무 막 웃어도 팔자주름 그냥 광대올리는식으로 미소 자주 지어주면 볼 덜쳐지는게 느껴지더라 근육생겨서 그런지,fmkorea
talk,여자들 사진이랑 실물 되게 다르더라,진짜 사진만 봤을때는 사진만 봤는데도 설렜음,fmkorea
breakup,헤어졌음,고생했습니다,fmkorea
talk,친한 여사친이랑 손절까지 하니 힘들군,뭔일이여,fmkorea
talk,나도 헤어지고 우는거 이해못하긴함,나도 살면서 차인 적 단 한번도 없음 ㄷㄷ,fmkorea
talk,자기관리 하는 이유는,허우대 멀쩡한게 어디임,fmkorea
question,여사친으로 끝나는 경우가 많아지는거 같아요,여사친 있다는게 부럽네,fmkorea
talk,내가 매일 하는것,나는 오늘 해야할일 머리로 정리함,fmkorea
datecourse,크리스마스 서울 어디가 괜찮을까요?,집이요,fmkorea
talk,서울에 피자 맛있는데 추천좀,유명한 건 해방촌 유명한데 솔까 난 모르겠음,fmkorea
talk,여자친구가 쌩얼 안 보여주려는거 너무 귀여움,ㄹㅇ 개귀여움,fmkorea
breakup,다시 모든걸 주고 싶은만큼 사랑할수있는 사람이 생기나요?,"네 생깁니다 많이 괴로워하고 힘들어하셔도 됩니다 전부 추억이되고 경험이 되어서 다음 연애, 다다음 연애, 마지막 연애까지 점점 더 건강하고 행복한 사랑을 하실 수 있어요",fmkorea
datecourse,혜화 혹시 분위기 괜찮은 밥집 있을까요?,서양집 괜찮던뎅,fmkorea
talk,크리스마스에 명동 말고 압구정은 어떰??,일본은 어떰,fmkorea
talk,모르는 사람이랑 전화하는 앱,나도 언어 교환해보고 싶어서 해봤는데 나름 ㄱㅊ거 같어,fmkorea
talk,요새 헷갈리게 했던 사람이 있었는데,불행한 쪽으로 촉이 딱 온다 100% 맞음,fmkorea
talk,나 처럼 키큰여자 좋아하는 사람 있음?,나도 키 큰분이 좋더라,fmkorea
breakup,여자친구하고 헤어졌어 후폭풍이 뒤늦게 엄청나네,힘내 ㅠㅠ 원래 헤어지면 힘들지,fmkorea
datecourse,여자친구랑 강남 반포 갈 일 있는데 밥집 추천ㅁ,호랑이식당 ㄱ ㄱ,fmkorea
talk,감정 기복 없고 잔잔한 성격 넘 좋네요,저도 잔잔해요 구래서 별명이 오류동잔잔바리였습니다,fmkorea
talk,오랜 고민 끝에 나만의 인생 성공 공략법을 찾았다,공략이 뭐쥬 알고싶구만,fmkorea
question,서울 데이트코스나 ~리단길 이런데 화요일에도 사람많음??,적진 않더라구요,fmkorea
talk,월급날인디 육회랑 연어 먹을까?,좋지 빨리 시켜 뭐해!!!!!!,fmkorea
talk,와 잠안오는 새벽 감성 미치겠네,커피를 줄이세요,fmkorea
datecourse,중랑구청 사거리 쪽에 가볼만한 식당,중랑구민이지만 다른곳 가시는걸 추천 ㄷㄷ,fmkorea
talk,고백했는데 생각해본다고 하는건 무슨심리야?,일단 기다려 니마음 표현했고 이제 저사람이 고민할 시간임 고민 방해하지말고 그냥있어,fmkorea
talk,생일선물로 공기청정기같은거 하면안되는구나,혼수 조각모음이라고 하자,fmkorea
talk,카페와서 일하는중인데 심심함,오늘 저녁 메뉴는?,fmkorea
talk,다이어트 한다 해도 여자 안 생기겠지,양자역학이네요,fmkorea
talk,운동 큰 관심없는데 위기의식 느낄때가 있었음,나도 30까지 게임만하며 살았을정도인데 헬스시작했음ㅋㅋㅋ,fmkorea
talk,지하철로 한시간 거리면 장거리인가?,내기준 장거리 아님,fmkorea
talk,온라인으로 만난 여자와 결혼준비중,이런거 보면 인연이란거 참 알다가도 모를 일 같다,fmkorea
talk,썸녀 첫 만남에 동네 횟집가는거 에바냐?,그런걸 고민할 관계라면 썸녀가 아니니 횟집 말고 무난한 파스타나 스시집으로,fmkorea
talk,여자랑 둘이 술마시기로했어요 어케해야할까요,MBTI로 시작해서 계속 물꼬 트는게 베스트,fmkorea
talk,아까 제 고민을 들어주셔서 감사합니다,여유가 된다면 다른 분들에게도 그런 도움을 주시길,fmkorea
question,형들 ㄴㅏ같은사람 있음?,다 그랭 처음엔,fmkorea
talk,습관적으로 읽씹하는사람 많음?,습관적 읽씹은 살면서 한번도 못봄 그만큼 신경안쓰는거지,fmkorea
talk,인디 음악 듣다보니까 콘서트 마렵네요,스텔라장 콘서트 저번에 예매 올라온것같던데 확인햐보실?,fmkorea
talk,잠을 못잘땐 어떻게 해야함??,폰이나 모니터같은 액정화면 안보기 몸이 피곤해지는 일이나 운동 시작하기,fmkorea
talk,너무 행복하니까 자꾸 쓸데없는 생각이 드네,사람이 그렇게 콩깍지하나때문에 생각없이 그러진않아요,fmkorea
talk,프랑스에서 번호따임,ㅌㅋㅌㅋㅋ 존잘,fmkorea
question,여친이 카톡업데이트했는데 바뀐게 없음,너도 따라하자 바뀐 거 없는 업데이트,fmkorea
talk,강제로 소개팅 할뻔ㅋㅋ,아니 이거를 이거를!!!!!!,fmkorea
question,이별 통보받고 그냥 읽씹했는데 잘한걸까?,잘했네,fmkorea
talk,여자친구 어디가 좋냐는 질문에,앞으론 이름이라고 대답하도록,fmkorea
talk,근데 내가 진짜 이상한 거였구나,개인적으로 몸도 멀어지면 마음도 멀어진다고 생각함,fmkorea
talk,인스타 스토리 하이라이트 일부는 봐지는데,그냥 인스타 오류,fmkorea
talk,요샌 mbti를 외우는게 기본이라네,외우면 편해지는데 굳이 난이도 어렵게 할 이유 없자나 남자나 여자나,fmkorea
talk,여자 앞에서 매운거 못먹을거같음,누군가는 그것마저 사랑해주겠지,fmkorea
talk,피나스테리드 먹기시작함,종합비타민 비오틴 비타민D 두 잘 챙겨 모거~ 모발이 확실히 굶어지긴 함,fmkorea
question,안읽씹 10일만에 답장이 왔는데요,마음 접는 게 좋습니다,fmkorea
talk,진짜 30되면 연애하기 쉽지않음 ㅋㅋ,두렵다 30,fmkorea
datecourse,1박2일로 경주 아니면 통영가려고 하는데,택시타야지,fmkorea
talk,연락하는 사람 있는데 다른 사람 번호를 따버림,ㅇㅇ 아니다싶으면 나가리 해야지,fmkorea
talk,난 맨날 연애할때 먼저 호감받는 쪽이였어서,연애 편하게 해왔ㅋ,fmkorea
talk,여자들은 달달한거 잘먹음?,아이스 아메리카노만 있다면 뭔들,fmkorea
question,내일 약속있는데 갑자기 가기싫다,고양이 밥줘야한다고 해,fmkorea
talk,님들은 잠수타면 보통 얼마나 탐?,연락이 오는데 답장도 안하는게 잠수임? 그런 적은 없는데,fmkorea
talk,내가 말을 빠르고 크게 하는 경향이 있었음,"무조건 말 한마디할때 천천히, 작게, 상대방을 생각하며 의식하고 살면 나아짐 자기가 의식하는거 아님 답없음",fmkorea
talk,어제 소개팅 어플로 만나고 차여서 제일 자존심상하는건 사진빨심한것같다는 느낌든다 내가,오 무슨어플?,fmkorea
talk,서율 여행겸 데이트 경비 적당할까요?,어떤 거 먹고 뭐하냐에 따라서 천차만별이라,fmkorea
question,여자친구 SNS에 남자들 댓글 너무 싫은데 방법없음?,여행이나 풀빌라 가서 함께올리기로 업로드 ㄱ ㄱ,fmkorea
talk,우리 여보야는 왜 제가 어디 가는걸 싫어할까요,자랑인가요! 사랑꾼이시네요,fmkorea
question,친한 오빠동생사이에서 어떻게 하면 들이댈까,말로만 듣던 급발진이 이건가?,fmkorea
talk,혼자 있는 주말 너무 힘들다,날씨가 너무 좋네,fmkorea
talk,남친이 커뮤니티에 자기랑 있었던일 올리면 기분 어떰?,내 욕만 아니면 ㄱㅊ,fmkorea
talk,연애하면 살 너무 찐다 ㅠㅠ,그래서 데이트하는날 빼고는 안먹어야댐,fmkorea
question,너무 안흔하고 괜찮은 수능 선물 뭐있을까,팜플렛 제작 후 학교 옥상에서부터 펼쳐주기,fmkorea
question,결혼식장 정보는 어디서 찾음?,웨딩플래너 아니면 네이버카페,fmkorea
question,근데 키스할때 보통 눈감고 하는편인가?,눈 뜨면 좀 어색해,fmkorea
talk,관심없는사람이랑 3시간 넘게 전화는 안하죠?,관심있는거네요,fmkorea
talk,난 mbti 일부러 안하는데,근데 대화거리로 알고 있음 좋긴하던데여 ㅋㅋㅋ,fmkorea
talk,상대가 바람피면 후유증이 오래가기도 하는구나,그런 사람들도 있는거지~,fmkorea
question,경주 황리단길 맛집 및 코스 추천받습니다,갈때마다 먹는 차오찹스,fmkorea
question,헤어졌는데 여친한테준선물돌려줘도될까요,"답은 잘 아시듯 안돌려주는 거고 그게 선물 준 사람에 대한 예의지만, 마음이 많이 아프시겠죠",fmkorea
talk,흑역사 만드는 걸 두려워 하지마,흑역사와 까임을 토대로 딥러닝하면 ㄹㅇ 쑥쑥늘긴함,fmkorea
talk,친해지고 싶은 사람이랑은 안 친해지고,부담이 없어서 그런듯,fmkorea
talk,남자친구의 P같은점?을 닮고 싶음,성격은 못고쳐어~,fmkorea
talk,전여친 개짜증나네,나도 4년전에 사귀었던 전남친 여친있는데도 염탐 하던데 그냥 그러려니 함 나한테 연락 못하고 어떻게 사나 궁금한진 하나보네 하고 말음,fmkorea
talk,여자친구가 요즘 좀 불안해 하는거 같아서,이쁘다 잘생겼다보다 기분좋은 칭찬은 없음,fmkorea
talk,취미생활 여가 뭐 하시나요,"영화,드라마보기 기타연습, 헬스 , 독서 , 보드게임, 볼링 , 복싱",fmkorea
talk,효도했어요!!,멋져영,fmkorea
talk,사주팔자,그런거 왜믿음? ㅇㅅㅇ,fmkorea
talk,사내연애가 궁금하면 사랑의이해 보면 된다,사랑의이해 잼씀?,fmkorea
talk,서울에서 동해 당일치기 에반가,동해 어디냐에 따라 다를듯,fmkorea
talk,예쁘다는게 그렇게 중요한 것일까?,뛰어난 외모가 플러스요인이 되는건 맞는것같아요,fmkorea
talk,이별 통보 했는데 여자친구가 계속 놔주질 않는다 ,진짜 끝내시려면 더 모질게 구셔야 할거 같아요 위추,fmkorea
talk,여사친이랑 백화점 가능?,왜 못감?,fmkorea
question,형들 고백멘트 어케함?,사귀자만한게어딧어,fmkorea
question,여자들은 정말 사귀기 전에 잘해주면 남자로써 매력 삭감되는거야?,사바사 사귀기 전부터 과도하게 퍼주면 부담될거야 서로 지속가능한 만큼만 하는 게 좋은 듯,fmkorea
talk,생에 처음으로 번따 시도해봄,마스크벗고 하셨나요?,fmkorea
talk,개인적으로 아무 사이 아닌데 스킨십 하는거 안좋아함,나도 그럼 이해안됨,fmkorea
talk,번호 받아놓고 연락도 안하는 사람 누구야~,왜 안함?,fmkorea
talk,님들은 예쁜 여자 만나지 마세요,내가 만날건데,fmkorea
talk,간다 드디어,입대하는구나,fmkorea
question,여자친구 선물 10~15?,향수~,fmkorea
