tag,Q,A,src
love,애인이 너무 공주영같은데 어떡하지,말햌ㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅠ,instiz
couple,나 신년운세 연애운 소름끼치게 잘맞아,나도 방금 애인이랑 내꺼 보고왔는데 맞는거같아,instiz
breakup,시간 갖는도중에 나도 마음이 식어버렸어,#화자#가 먼저 헤어지자해 그래야 혹여나 나중에 마음 바뀌고 재회 하고 싶어져도 #화자#한테 주도권이 넘어간 느낌일걸,instiz
breakup,오늘 온몸이 떨릴정도로 빡치는 일이 있었어,너랑 만나면서 걔 만나고 있었나보다,instiz
love,전화로 싸우면서 내가 울고있는데도 게임하는 애인 어때,헤어지셈 왜 만남,instiz
oneside,과한 호의는 뭘까?,성격이 그런애들이 있어 너무 신경쓰지마,instiz
love,나 썸 좀 길게 타봤다 하는 #청자#들 얼마나 탔어?,3개월?,instiz
love,진짜 너무 힘든 연애중인데 어떡해,네가 지금 하는 일이 없어서 그럼,instiz
love,나만 결혼 빨리 하고싶어?!,나두 서른 전에 하고파 돈만 있으면 당장 했지만,instiz
love,썸원하는 거 귀찮은 애들아! 이유가 뭐야??,"그냥 그 일기 자체를 부담스러워하는 사람들이 있을걸? 마치 일기, 편지 못 쓰는 사람들이 있듯",instiz
couple,일어나서 아침 카톡 받고 기분좋네,건방진 좋은아침으로 읽었넼ㅋㅋㅋㅋㅋㅋ달달하당 얼마나 만났어??,instiz
love,인프피 애인 궁금한 거 있어?,싸우면 연락 두절이야?,instiz
breakup,진짜 연락 미친듯이 하고싶다,난 했어ㅠㅠ,instiz
love,10KG찌면 맘 변한다며 임신으로 살 찌는건 딴 얘기야?,당연한거 아니냐,instiz
love,장기연애하는 사람들 데이트비용 어떻게해?,지금은 7:3정도야,instiz
breakup,시간 갖자고 하면 해어지는거야?,헤어지자는거네,instiz
love,썸남이 자꾸 말 없이 잠들음,참고로 피곤할 일 없음 지금 백수임 썸남,instiz
flirt,썸남 오빠 디퓨저 선물 어떠미?,조은댕!,instiz
love,"크리스마스 선물 추천해줭,,, 모쏠이였음",난 목도리 줬었오,instiz
couple,연애중인데도 짝사랑하는 기분 들때 있어?,나만 표현하고 나만 보고싶어하는 느낌이 들때?,instiz
love,어떤 행동을 보면 호감있다는 걸 알 수 있어?!!!,나는 카톡 대화할때 내가 마무리 지어도 상대가 계속 연결할때?,instiz
love,전애인 카톡 친삭했는데 너무 궁금해,헤어진지 얼마나 됐어?!,instiz
love,여행가면 몇시쯤 숙소 들어가?,7시쯤 ?,instiz
breakup,헤어진지 이제 8개월 넘었당,고생했어! 앞으로 더 행복한 날들만 있길 바랄게!,instiz
love,4일 남았는데 애인이 생일선물 준비안한거같아,갖고싶은걸 말행,instiz
love,아맛있는거 를 맛난거 라고 하는거 왤케 깨니,??? : 맛난 거 많이 먹고 와!,instiz
love,너네 사친이랑 셀카찍어?,ㅇㅇ ,instiz
love,놀이공원가면 회전목마샷 꼭 찍어야할까?,너 맘이지 난 아무생각없음 그거에,instiz
breakup,나만의 이별극복법,죽었다 생각하기,instiz
love,전애인 못잊었으면 제발 연애하지말아주라,ㅠㅠ 상대가 전애인 못잊겠다고 그랬어?,instiz
love,내가 예민한 거 같아 애인이 센스없는거 같아?,겁나 센스없다,instiz
love,"#(남자)청자#들아, 나 내일 소개팅인데 시간 바꾸는 거 오바?ㅜㅜ",어 갑자기?,instiz
love,지금 애인한테서 느끼는 건 다른 사람도 대체 가능할 거 같아,시간이 준 거 맞아? 사람이 준 거 아니고?,instiz
love,몸매좋은 사람하고는 헤어지기 힘들어?,헤어져도 연락오긴하더라 ㅋㅋㅋㅋ,instiz
oneside,호감있으면 선톡한다VS안한다,사바사 근데 일단 난 안함,instiz
etc,애인 플레이리스트에 해피나루 같은 노래 있으면 정떨어짐?,그게뭐야,instiz
breakup,새애인 생긴거같은 쎄한느낌 100%겠지??,이미 헤어진사람한테 쎄하다는표현이 쫌ㅋㅋㅋㅋ,instiz
love,시간갖는중인데 프사 내리는 심리는 뭘까?,프사 내리고 놀 사람은 아니지? 걍 기분 안좋아서일듯,instiz
love,ISFJ특징이 뭐야?,#화자#는 MBTI 뭐야?,instiz
love,INFP 마음 흔드는 방법 알려줘,걍 얼굴 이쁘고 살갑게 대해주면 될텐디,instiz
love,서운한게 있는데 내가 너무 예민한걸까,조금 서운할 거 같긴 해,instiz
love,난 편한 연애 좋아하는데 상대가 막 너무 잘해주랴하고 격식차리면 어떡해?,말하면서 서로한테 맞춰가는게 연애야,instiz
couple,다들 크리스마스때 데이트 뭐할예정?,부산놀러가기러했당 !,instiz
love,패턴 안 맞는 커플인데 애인이 노력을 안 하는것 같다,평생 월드컵이나 보라 그래,instiz
love,애인이 #청자#둘이랑 있을 때 친구랑 전화하는거 이해 ㄱㄴ?,10분정도는 가능,instiz
